Designator,Mid X,Mid Y,Layer,Rotation
D1,103.50mm,-63.20mm,Bottom,180
D2,103.50mm,-68.20mm,Bottom,180
D3,103.50mm,-73.20mm,Bottom,180
D4,103.50mm,-78.20mm,Bottom,180
D5,103.50mm,-83.20mm,Bottom,180
D6,103.50mm,-88.20mm,Bottom,180
D7,103.50mm,-93.20mm,Bottom,180
D8,103.50mm,-98.20mm,Bottom,180
D9,103.50mm,-103.20mm,Bottom,180
D10,103.50mm,-108.20mm,Bottom,180
D11,103.50mm,-113.20mm,Bottom,180
D12,103.50mm,-118.20mm,Bottom,180
D13,103.50mm,-123.20mm,Bottom,180
D14,103.50mm,-128.20mm,Bottom,180
D15,103.50mm,-133.20mm,Bottom,180
D16,103.50mm,-138.20mm,Bottom,180
D17,108.50mm,-63.20mm,Bottom,180
D18,108.50mm,-68.20mm,Bottom,180
D19,108.50mm,-73.20mm,Bottom,180
D20,108.50mm,-78.20mm,Bottom,180
D21,108.50mm,-83.20mm,Bottom,180
D22,108.50mm,-88.20mm,Bottom,180
D23,108.50mm,-93.20mm,Bottom,180
D24,108.50mm,-98.20mm,Bottom,180
D25,108.50mm,-103.20mm,Bottom,180
D26,108.50mm,-108.20mm,Bottom,180
D27,108.50mm,-113.20mm,Bottom,180
D28,108.50mm,-118.20mm,Bottom,180
D29,108.50mm,-123.20mm,Bottom,180
D30,108.50mm,-128.20mm,Bottom,180
D31,108.50mm,-133.20mm,Bottom,180
D32,108.50mm,-138.20mm,Bottom,180
D33,113.50mm,-63.20mm,Bottom,180
D34,113.50mm,-68.20mm,Bottom,180
D35,113.50mm,-73.20mm,Bottom,180
D36,113.50mm,-78.20mm,Bottom,180
D37,113.50mm,-83.20mm,Bottom,180
D38,113.50mm,-88.20mm,Bottom,180
D39,113.50mm,-93.20mm,Bottom,180
D40,113.50mm,-98.20mm,Bottom,180
D41,113.50mm,-103.20mm,Bottom,180
D42,113.50mm,-108.20mm,Bottom,180
D43,113.50mm,-113.20mm,Bottom,180
D44,113.50mm,-118.20mm,Bottom,180
D45,113.50mm,-123.20mm,Bottom,180
D46,113.50mm,-128.20mm,Bottom,180
D47,113.50mm,-133.20mm,Bottom,180
D48,113.50mm,-138.20mm,Bottom,180
D49,118.50mm,-63.20mm,Bottom,180
D50,118.50mm,-68.20mm,Bottom,180
D51,118.50mm,-73.20mm,Bottom,180
D52,118.50mm,-78.20mm,Bottom,180
D53,118.50mm,-83.20mm,Bottom,180
D54,118.50mm,-88.20mm,Bottom,180
D55,118.50mm,-93.20mm,Bottom,180
D56,118.50mm,-98.20mm,Bottom,180
D57,118.50mm,-103.20mm,Bottom,180
D58,118.50mm,-108.20mm,Bottom,180
D59,118.50mm,-113.20mm,Bottom,180
D60,118.50mm,-118.20mm,Bottom,180
D61,118.50mm,-123.20mm,Bottom,180
D62,118.50mm,-128.20mm,Bottom,180
D63,118.50mm,-133.20mm,Bottom,180
D64,118.50mm,-138.20mm,Bottom,180
D65,123.50mm,-63.20mm,Bottom,180
D66,123.50mm,-68.20mm,Bottom,180
D67,123.50mm,-73.20mm,Bottom,180
D68,123.50mm,-78.20mm,Bottom,180
D69,123.50mm,-83.20mm,Bottom,180
D70,123.50mm,-88.20mm,Bottom,180
D71,123.50mm,-93.20mm,Bottom,180
D72,123.50mm,-98.20mm,Bottom,180
D73,123.50mm,-103.20mm,Bottom,180
D74,123.50mm,-108.20mm,Bottom,180
D75,123.50mm,-113.20mm,Bottom,180
D76,123.50mm,-118.20mm,Bottom,180
D77,123.50mm,-123.20mm,Bottom,180
D78,123.50mm,-128.20mm,Bottom,180
D79,123.50mm,-133.20mm,Bottom,180
D80,123.50mm,-138.20mm,Bottom,180
D81,128.50mm,-63.20mm,Bottom,180
D82,128.50mm,-68.20mm,Bottom,180
D83,128.50mm,-73.20mm,Bottom,180
D84,128.50mm,-78.20mm,Bottom,180
D85,128.50mm,-83.20mm,Bottom,180
D86,128.50mm,-88.20mm,Bottom,180
D87,128.50mm,-93.20mm,Bottom,180
D88,128.50mm,-98.20mm,Bottom,180
D89,128.50mm,-103.20mm,Bottom,180
D90,128.50mm,-108.20mm,Bottom,180
D91,128.50mm,-113.20mm,Bottom,180
D92,128.50mm,-118.20mm,Bottom,180
D93,128.50mm,-123.20mm,Bottom,180
D94,128.50mm,-128.20mm,Bottom,180
D95,128.50mm,-133.20mm,Bottom,180
D96,128.50mm,-138.20mm,Bottom,180
D97,133.50mm,-63.20mm,Bottom,180
D98,133.50mm,-68.20mm,Bottom,180
D99,133.50mm,-73.20mm,Bottom,180
D100,133.50mm,-78.20mm,Bottom,180
D101,133.50mm,-83.20mm,Bottom,180
D102,133.50mm,-88.20mm,Bottom,180
D103,133.50mm,-93.20mm,Bottom,180
D104,133.50mm,-98.20mm,Bottom,180
D105,133.50mm,-103.20mm,Bottom,180
D106,133.50mm,-108.20mm,Bottom,180
D107,133.50mm,-113.20mm,Bottom,180
D108,133.50mm,-118.20mm,Bottom,180
D109,133.50mm,-123.20mm,Bottom,180
D110,133.50mm,-128.20mm,Bottom,180
D111,133.50mm,-133.20mm,Bottom,180
D112,133.50mm,-138.20mm,Bottom,180
D113,138.50mm,-63.20mm,Bottom,180
D114,138.50mm,-68.20mm,Bottom,180
D115,138.50mm,-73.20mm,Bottom,180
D116,138.50mm,-78.20mm,Bottom,180
D117,138.50mm,-83.20mm,Bottom,180
D118,138.50mm,-88.20mm,Bottom,180
D119,138.50mm,-93.20mm,Bottom,180
D120,138.50mm,-98.20mm,Bottom,180
D121,138.50mm,-103.20mm,Bottom,180
D122,138.50mm,-108.20mm,Bottom,180
D123,138.50mm,-113.20mm,Bottom,180
D124,138.50mm,-118.20mm,Bottom,180
D125,138.50mm,-123.20mm,Bottom,180
D126,138.50mm,-128.20mm,Bottom,180
D127,138.50mm,-133.20mm,Bottom,180
D128,138.50mm,-138.20mm,Bottom,180
D129,143.50mm,-63.20mm,Bottom,180
D130,143.50mm,-68.20mm,Bottom,180
D131,143.50mm,-73.20mm,Bottom,180
D132,143.50mm,-78.20mm,Bottom,180
D133,143.50mm,-83.20mm,Bottom,180
D134,143.50mm,-88.20mm,Bottom,180
D135,143.50mm,-93.20mm,Bottom,180
D136,143.50mm,-98.20mm,Bottom,180
D137,143.50mm,-103.20mm,Bottom,180
D138,143.50mm,-108.20mm,Bottom,180
D139,143.50mm,-113.20mm,Bottom,180
D140,143.50mm,-118.20mm,Bottom,180
D141,143.50mm,-123.20mm,Bottom,180
D142,143.50mm,-128.20mm,Bottom,180
D143,143.50mm,-133.20mm,Bottom,180
D144,143.50mm,-138.20mm,Bottom,180
D145,148.50mm,-63.20mm,Bottom,180
D146,148.50mm,-68.20mm,Bottom,180
D147,148.50mm,-73.20mm,Bottom,180
D148,148.50mm,-78.20mm,Bottom,180
D149,148.50mm,-83.20mm,Bottom,180
D150,148.50mm,-88.20mm,Bottom,180
D151,148.50mm,-93.20mm,Bottom,180
D152,148.50mm,-98.20mm,Bottom,180
D153,148.50mm,-103.20mm,Bottom,180
D154,148.50mm,-108.20mm,Bottom,180
D155,148.50mm,-113.20mm,Bottom,180
D156,148.50mm,-118.20mm,Bottom,180
