Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",154.710000,-84.600000,180.000000,top
"C2","0.1uF","C_0402_1005Metric",114.600000,-124.700000,180.000000,top
"J1","Conn_01x27","Hirose_FH26-27S-0.3SHW_2Rows-27Pins-1MP_P0.60mm_Horizontal",170.900000,-120.700000,180.000000,top
"J2","Conn_01x08","CONN_BM08B-XASS-TF_JST",123.600000,-69.200000,0.000000,top
"J3","Conn_01x08","CONN_BM08B-XASS-TF_JST",153.700000,-69.200000,0.000000,top
"J5","Conn_01x27","Hirose_FH26-27S-0.3SHW_2Rows-27Pins-1MP_P0.60mm_Horizontal",170.900000,-80.700000,180.000000,top
"R1","10k","R_0402_1005Metric",156.710000,-85.700000,180.000000,top
"R2","10k","R_0402_1005Metric",116.600000,-125.800000,180.000000,top
"TH1","Thermistor_NTC","R_0402_1005Metric",156.710000,-84.600000,0.000000,top
"TH2","Thermistor_NTC","R_0402_1005Metric",116.600000,-124.700000,0.000000,top
